Review_ID,review_number,review_date,review_ratings,reviews.title
65,2,2018-09-10T21:02:10Z,,You MUST stay here
66,2,2018-09-10T21:02:10Z,,A nice getaway for a price
67,1,2018-09-10T21:02:10Z,,Amazing Experience
68,1,2018-09-10T21:02:10Z,,Wonderful quiet resort
69,3,2018-09-10T21:02:10Z,,It Almost Lives Up To Its Rating
70,1,2018-09-10T21:02:10Z,,Its hard to improve on perfection.
71,2,2018-09-10T21:02:10Z,,Top choice for San Diego
72,5,2018-09-10T21:02:10Z,,Stunning Hotel for 30th Birthday
73,2,2018-09-10T21:02:10Z,,Top Notch Hotel in SoCal
74,1,2018-09-10T21:02:10Z,"5,3.5,3.5,3,4,1,1,4",San Diego Fairmont Excellence
75,1,2018-09-10T21:02:10Z,,Best Hotel I have EVER stayed at
76,1,2018-09-10T21:01:02Z,,Fly and go
77,4,2018-09-10T21:01:02Z,,Helpful Staff!
78,1,2018-09-10T21:01:02Z,"4,3.5,3.5,4,4.5,4.5,4,4,4.5,4,4.5,3",Decent hotel at O'Hare.
79,1,2018-09-10T21:01:02Z,"4.5,5,4.5,4.5,4,4,4,4.5,4.5,4.5,4",Bad
80,2,2018-09-10T21:00:38Z,,Excellent We Had a BLAST in the WATER Park Hotel
81,15,2018-09-06T04:37:44Z,,Awesome hotel.
82,3,2018-09-06T04:37:44Z,,Impeccable customer service overall experience
83,2,2018-09-06T04:37:44Z,,"Very comfy beds, great lobby/bathroom"
84,2,2018-09-06T04:37:44Z,"4,3.5,3.5,4,4.5,4.5,4,4,4.5,4,4.5,3.5",Staff went out of their way after checkout to locate an item...
85,2,2018-09-06T04:37:44Z,,"Great city location, very clean and modern hotel with good staff . Don't miss the happy hour"
86,1,2018-09-06T04:37:44Z,"4.5,4,4,4,4.5,4,4.5,4.5,4.5,4,4.5,3.5",Good hotel terrible room rate!
87,12,2018-09-06T04:37:44Z,"4,4,2,4,4,4,4.5,4.5,4.5,5,4.5,4.5",Comfortable hotel in a great location.
88,3,2018-09-06T04:37:44Z,"4,4,4,4.5,4,4,4.5,4,5,4.5,4.5,3",A fun place to stay with great staff and lots going on in...
89,9,2018-09-06T04:37:44Z,,Honestly one of the best stays I've ever had (and I travel a lot!)
90,8,2018-09-06T04:37:44Z,"5,3.5,3.5,4.5,3.5,4.5,4,3.5,5,4.5,5",Beautiful hotel and great value
91,1,2018-09-06T04:37:44Z,"4,3.5,4,4,4.5,3.5,3,4.5,1,3.5,1",PERFECTION
92,10,2018-09-06T04:37:44Z,"4,4,4,3,4.5,4.5,4,4,4,3,3,3.5","Fun, Funky Energy to a Shiny New Hotel"
93,12,2018-09-06T04:37:44Z,"4,3,4,4,4.5,4.5,4.5,4,4,4.5,5,3",Fun place and great staff
94,6,2018-09-06T04:37:44Z,"4,2.5,4,2.5,4.5,4.5,4,4,4,4.5,4,4",Cool hotel in a perfect location
95,60,2018-09-06T04:37:44Z,"4,4,4.5,4.5,4.5,4.5,4,4,4,4,4.5,4.5",Great location and staff
96,14,2018-09-06T04:37:44Z,"4.5,4.5,4,4,4.5,4.5,4.5,4,4.5,4.5,4,4",I thought flying Virgin was great.... this exceeded my expectations
97,1,2018-09-06T04:37:44Z,,Excellent stay -- I will return
98,3,2018-09-06T04:37:44Z,,Everything
99,1,2018-09-06T04:37:44Z,,Exceptional hotel
100,1,2018-09-04T21:27:52Z,,Great location to attend a hockey game!
101,3,2018-09-04T21:27:52Z,,I loved the quirkiness and style of the hotel.
102,1,2018-09-04T21:27:52Z,"3.5,3,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.5",Clean and cozy
103,2,2018-09-04T21:27:52Z,"4,3.5,4.5,4,4,4.5,4.5,3.5,4.5,3.5,5,4",Poor hotel option. More like a poor 3 star.
104,3,2018-09-04T21:27:52Z,,Location to the garden
105,1,2018-09-04T21:27:52Z,,Complete and good
106,1,2018-09-04T21:27:52Z,,Perfect
107,3,2018-09-04T21:27:52Z,,Dont look past The Boxer for Boston accommodation.
108,1,2018-09-04T21:27:52Z,,Great location for a reasonable price in Boston.
109,3,2018-09-04T21:27:52Z,,nice place but way overpriced
110,3,2018-09-04T21:27:52Z,,The Boxer Boston a let down and should have been better!
111,1,2018-09-04T21:27:52Z,,poor room comfort
112,0,2018-09-04T21:27:52Z,"4,3.5,3.5,4,4,4,3.5,3.5,4",The whole 5 day experience at the hotel was superb- the...
113,0,2018-09-04T21:27:52Z,"2.5,4,4,4,3.5,4.5,4,4,4.5,4,3.5,3.5",The location
114,1,2018-09-04T21:27:52Z,"4,3.5,3.5,4,4.5,4,4.5,4.5,3,1,2.5,1",Close to TD Garden
115,2,2018-09-04T21:27:52Z,"4,3.5,4,3.5,4,5,4,4.5,4.5,4.5,3,4.5",Good location.
116,1,2018-09-04T21:27:52Z,"4,3.5,4,3.5,4,3.5,3.5,4",The coolest hotel! Everything is excellent
117,1,2018-09-04T21:27:52Z,"4.5,4,4,3.5,4,4.5,4,4,4,4,4,4",They were very accommodating. They offer a free breakfast buffet which was a nice surprise.
118,0,2018-09-04T21:27:52Z,"4.5,3.5,4.5,4,4,4,4.5,4,4,4,4,3.5",IN THE HEART OF BOSTON...'cause they got heart!
119,1,2018-09-04T21:27:52Z,"4,4,4,3.5,4,4.5,4.5,4,4,3,3.5,4",Good but not great.
120,1,2018-09-04T21:27:52Z,"4,3.5,4.5,3.5,4.5,4,4,3.5,3.5,3.5,3,3",We enjoyed the convenience of staying here while we attended a concert at the Boston Garden.
121,48,2018-09-04T21:27:52Z,"4.5,4,4,4,4.5,4,4,4.5,4.5,4,4,4.5",Friendly and prompt service.
122,325,2018-09-04T21:27:52Z,"2,4,3,4,4.5,4.5,4,4.5,4,4,4",More please
123,19,2018-09-04T21:27:52Z,"5,4,4,5,4.5,4,4.5,5,4.5,4,4.5,4",Made the trip even better bookending the day at the hotel.
124,1,2018-09-04T21:27:52Z,,Great place to stay while taking in an event at TD garden
125,132,2018-09-04T21:27:52Z,"4,4,3,3,4.5,4.5,5,4.5,4.5,4,4.5,4",Free apples and fruit Infused Water in the lobby.
126,59,2018-09-04T21:27:52Z,"3.5,4,3.5,3,3.5,4.5,4.5,4,4,4,4,5","A marvelous location, very friendly crew, it's clear..."
127,1,2018-09-04T21:27:52Z,,Pleasant stay in this hotel.
128,4,2018-09-04T21:27:52Z,,Room was great.
129,1,2018-09-04T21:27:52Z,,Free water and apples
130,2,2018-09-04T21:27:52Z,"4,3.5,3.5,4,4.5,4.5,5,4,4,4,4.5,3.5",awesome hotel
131,1,2018-09-04T21:27:52Z,,Classic and Close
132,1,2018-09-04T21:27:52Z,"4,3.5,4.5,3,4.5,4.5,3.5,4,4.5,3.5,4.5,4",Free water and apples
133,5,2018-09-04T21:27:52Z,"4.5,3,3.5,4.5,5,4.5,4.5,4,4","Location, staff, aesthetics, price."
134,7,2018-09-04T21:27:52Z,,We were happy to stay there for a weekend in Boston. The location and amenities worked well for us.
135,2,2018-09-04T21:27:52Z,,The staff were friendly and helpful.
136,1,2018-09-04T21:27:52Z,"3.5,4,4,4,4.5,4.5,3.5,4.5,4.5,4,4,4",A quirky and comfortable place
137,194,2018-09-04T21:27:52Z,"3.5,2,3.5,3.5,4.5,4,4,4,4,4.5,4,3.5",Had a wonderful time exploring the whole north end of the city on foot from this awesome location!
138,5,2018-09-04T21:27:52Z,"3.5,4,3.5,4,4.5,4,5,4,5,4,4,3.5",Very friendly staff.
139,74,2018-09-04T21:27:52Z,"4,4,4,3.5,4.5,4,4.5,4,4.5,4.5,4,4.5",Great hotel.
140,48,2018-09-04T21:27:52Z,"3.5,1.5,4,2,4.5,4.5,5,4.5,4.5,1,3,3",I will stay there again!
141,26,2018-09-04T21:27:52Z,"3,4,3.5,4.5,5,4,4.5,4,4.5,4.5,4.5,4",Restaurant closed
142,102,2018-09-04T21:27:52Z,"5,4,5,4,4,4,4,4.5,4,4,3.5,5","nice hotel, well located near the Boston public market"
143,30,2018-09-04T21:27:52Z,"4,4,4.5,2.5,4.5,4.5,4,4,4,4,4,4",At least it wasnt too far from TD garden.
144,27,2018-09-04T21:27:52Z,"4,3.5,3.5,4,4,4,4,4,3,3.5,4,3.5",It was great
145,17,2018-09-04T21:27:52Z,"4,4.5,4.5,4,4.5,4,4,3.5,4.5,4.5,4,3","Staff was great, room small but clean and organized well."
146,1,2018-09-04T21:27:52Z,,Perfect location if you're attending an even at the...
147,2,2018-09-04T21:27:52Z,"4.5,4,4,3.5,4,4,3.5,4,4.5,4,4,3.5",Dont look past The Boxer for Boston accommodation.
148,1,2018-09-04T21:27:52Z,,Quirky and fun hotel.
149,3,2018-09-04T21:27:52Z,,Buffet food
150,2,2018-09-04T21:27:52Z,,Hotel with Personality!
151,1,2018-09-04T21:27:52Z,,What a great experience!
152,2,2018-09-04T21:27:52Z,,Great hotel!
153,1,2018-09-04T21:27:52Z,,"Friendly, helpful staff and comfortable rooms!"
154,6,2018-09-04T21:27:52Z,,As Local As You Can Get
155,2,2018-09-04T21:27:52Z,,Value for Money
156,7,2018-09-04T21:27:52Z,,Never again!
157,4,2018-09-04T21:27:52Z,,Excellent
158,1,2018-09-04T21:27:52Z,,The staff at the place is extremely friendly.
159,1,2018-09-04T21:27:52Z,,Non-smoker had to sleep in a smoking room
160,1,2018-09-04T21:27:52Z,,EVERYTHING WORK OUT JUST FINE
161,3,2018-09-04T21:27:52Z,,Great stay. Little pricey for the location. No post season MLB access in my room!!! Dodgers and Cubs
162,2,2018-09-04T21:27:52Z,,Best gambling in Vegas and best comps!
163,1,2018-09-04T21:27:52Z,,I absolutely loved it and will definitely be back in the near future!
164,2,2018-09-04T21:27:52Z,,NIGHT MARE!!!
165,0,2018-09-04T21:27:52Z,"3,4,5,4,4.5,5,3,4.5,4.5,4.5,4.5",Cheap and this is it
166,1,2018-09-04T21:27:52Z,"4,4,4.5,4,4,3.5,4,4.5,4,4,4,4",Need the minimum for an inexpensive price - this is the deal for you!
167,2,2018-09-04T21:27:52Z,,We'll be back.
168,1,2018-09-04T21:27:52Z,"4,3,4,3.5,4,4,5,4.5,4,4,4",We'll be back again
169,2,2018-09-04T21:27:52Z,,Definitely coming back!
170,3,2018-09-04T21:27:52Z,,Bed bug city
171,3,2018-09-04T21:27:52Z,,It's my favorite place go I've booked for November for my birthday this year.
172,1,2018-09-04T21:27:52Z,,the location
173,2,2018-09-04T21:27:52Z,,Very satisfied
174,1,2018-09-04T21:27:52Z,"4,4.5,3.5,3.5,4.5,4,4,4.5,4.5,4.5,4.5,4.5",Its was alright for what it was worth.
175,2,2018-09-04T21:27:52Z,,"Location, beds, price"
176,2,2018-09-04T21:27:52Z,,Pro: Cheap Con: everything else
177,3,2018-09-04T21:27:52Z,,Take a gamble
178,1,2018-09-04T21:27:52Z,"4,4.5,3.5,3.5,4,4.5,4.5,4.5,4,4,3.5,3.5",It met all of our needs and had a great time in and around the surrounding casino's
179,21,2018-09-04T21:27:52Z,"4.5,4,2.5,3,2.5,5,4,4.5,4,4.5,2.5,5",Location
180,777,2018-09-04T21:27:52Z,"3,1.5,4.5,3.5,4,4,4,5,4.5,4.5,4.5",Great
181,2,2018-09-04T21:27:52Z,"4,3.5,4,4,4,4,4.5,4,4.5,4.5,3.5,3.5",excellent value for money in las vegas
182,5,2018-09-04T21:27:52Z,"3.5,4,4,4.5,4,4.5,5,4,3,1.5,4.5,4",Lots of fun
183,10,2018-09-04T21:27:52Z,"3.5,4,2,3.5,4.5,4,4.5,4.5,4.5,3.5,4.5,3.5",The Beds were great!
184,4,2018-09-04T21:27:52Z,"4.5,4,4.5,4,4.5,4.5,4.5,4,4.5,4.5,4,4",The beds were very confortable.
185,1,2018-09-04T21:27:52Z,"3.5,4,4,3.5,4.5,4.5,5,4.5,4,5,4.5,4.5","I really liked its location, and slot machines, the Paradise..."
186,1,2018-09-04T21:27:52Z,,Excellence - and without a resort fee!
187,1,2018-09-04T21:27:52Z,,The free parking at the hotel was great and all the staff...
188,1,2018-09-04T21:27:52Z,,Good stay
189,1,2018-09-04T21:27:52Z,"4.5,4,5,4,4.5,4.5,5,4.5,4.5,4.5,4,4.5",Valet parking Duncan doughnut
190,12,2018-09-04T21:27:52Z,"3.5,4.5,5,4.5,4.5,4,4,4.5,4.5,4.5,4.5,4.5","Nice to stay, but needs to be improved."
191,3,2018-09-04T21:27:52Z,,It was a beautiful hotal
192,2,2018-09-04T21:27:52Z,,Great location!
193,4,2018-09-04T21:27:52Z,"4.5,4.5,3.5,4.5,4,4,4,4,4.5,4.5,4,4.5","Rooms small, air conditioning don't work!"
194,1,2018-09-04T21:27:52Z,,Location and price.
195,10,2018-09-04T21:27:52Z,,A great part of history that needs minor changes to keep up.
196,1,2018-09-04T21:27:52Z,,Money worth but looking old and noisy
197,17,2018-09-04T21:27:52Z,,Hotel and Staff -- GREAT. Parking: VERY BAD.
198,3,2018-09-04T21:27:52Z,,none
199,1,2018-09-04T21:27:52Z,,"The breakfast buffett was good, the other 2 restaurants were..."
200,10,2018-09-04T21:27:52Z,,"The rooms were very comfortable, clean, and well maintained"
201,1,2018-09-04T21:27:52Z,,Stayed here for a week and our stay was great! We will definitely come back again for vacation.
202,19,2018-09-04T21:27:52Z,"4,4,3.5,4,4.5,4.5,5,4,4,4,4,4",It was ok.
203,12,2018-09-04T21:27:52Z,,Room was clean.
204,15,2018-09-04T21:27:52Z,,It was on my bucket list and I wanted to...
205,1,2018-09-04T21:27:52Z,,Overall the stay was just okay but way over priced for the accomandations.
206,9,2018-09-04T21:27:52Z,,Loved It!!!
207,1,2018-09-04T21:27:52Z,,cheap buffet with good quality
208,1,2018-09-04T21:27:52Z,"3,2,4.5,5,4,4,4,4.5,4.5,4.5,4.5","Easy access to Fremont, hope you like valet parking."
209,1,2018-09-04T21:27:52Z,,"The hotel was very nice, much nicer than The Plaza next door."
210,3,2018-09-04T21:27:52Z,,Excelent location in the freemont Experience.
211,2,2018-09-04T21:27:52Z,,A moment to relax.
212,2,2018-09-04T21:27:52Z,,Not bad if you get the right price.
213,1,2018-09-04T21:27:52Z,,Love the Fremont Hotel
214,3,2018-09-04T21:27:52Z,,Horrible
215,1,2018-09-04T21:27:52Z,,Good hotel at Fremont street.
216,2,2018-09-04T21:27:52Z,"3,4,2.5,3.5,2,3,4,4.5,4.5,4.5,4",Access to downtown
217,625,2018-09-04T21:27:52Z,"4.5,5,5,5,4.5,4.5,4.5,4.5,4.5,4,4.5",Kool place
218,33,2018-09-04T21:27:52Z,"4.5,4,4,4.5,4.5,4.5,5,3.5,4.5,4.5,4.5,4",Prime rib meal deal at Roma's
219,128,2018-09-04T21:27:52Z,"4,3.5,4,4,5,4.5,4.5,4,4.5,4.5,3,4.5",In all the stay was great.
220,225,2018-09-04T21:27:52Z,"4,4,1.5,3,4.5,3,4.5,4.5,4,5,4,4",Great location and very pleasant
221,3,2018-09-04T21:27:52Z,,The Fun Starts At Downtown Las Vegas.
222,592,2018-09-04T21:27:52Z,"4.5,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5",everything was fine except the band noise until 2 in the morning
223,1,2018-09-04T21:27:52Z,,"Fremont, not a bad option"
224,4,2018-09-04T21:27:52Z,,Ease of conveniece to everything I needed
225,1,2018-09-04T21:27:52Z,,Everything very nice room food service
226,5,2018-09-04T21:27:52Z,,good experience at a Main Street
227,1,2018-09-04T21:27:52Z,,Location
228,6,2018-09-04T21:27:52Z,,The hotel is really beautiful!
229,1,2018-09-04T21:27:52Z,,always a good value at the Main Street Casino
230,1,2018-09-04T21:27:52Z,,very nice restored hotel.
231,2,2018-09-04T21:27:52Z,,OK
232,1,2018-09-04T21:27:52Z,,"The room was nice and clean, bed was very comfy."
233,1,2018-09-04T21:27:52Z,,Convenient location.
234,1,2018-09-04T21:27:52Z,,Hassle checking in confirmation email lost by bookings or...
235,1,2018-09-04T21:27:52Z,"4.5,3.5,4.5,4.5,4,4,4.5,4.5,4.5,5,3.5",not happy
236,2,2018-09-04T21:27:52Z,"3.5,3.5,4,3,4.5,4,4,4.5,4.5,4.5,4",Location and staff were awesome.
237,2,2018-09-04T21:27:52Z,,nice place to stay in vegas
238,2,2018-09-04T21:27:52Z,,really you only stay in your room to sleep and it was great
239,3,2018-09-04T21:27:52Z,,Perfect location and best staff from top to bottom!
240,2,2018-09-04T21:27:52Z,,Great downtown location
241,2,2018-09-04T21:27:52Z,,Location
242,2,2018-09-04T21:27:52Z,,yes
243,2,2018-09-04T21:27:52Z,,Not crowded
244,1,2018-09-04T21:27:52Z,"3.5,3.5,4.5,4,2,5,4,4.5,4.5,4.5,5",wouldnt stay there again
245,1,2018-09-04T21:27:52Z,,Something new
246,5,2018-09-04T21:27:52Z,,It was clean and close to everything!
247,3,2018-09-04T21:27:52Z,,Won't book again but will eat there
248,1,2018-09-04T21:27:52Z,,Not worth the price
249,3,2018-09-04T21:27:52Z,,Great location and price was right
250,1,2018-09-04T21:27:52Z,,I want to go back!
251,1,2018-09-04T21:27:52Z,,Take a gamble
252,11,2018-09-04T21:27:52Z,"4.5,4,4,4,4.5,5,4,4,4.5,4.5,4.5,4",Location
253,2,2018-09-04T21:27:52Z,,Small room and a nasty bathroom
254,1,2018-09-04T21:27:52Z,,Very friendly staff
255,0,2018-09-04T21:27:52Z,,The location was easily accessible to any downtown...
256,1,2018-09-04T21:27:52Z,,Last stay there ever
257,8,2018-09-04T21:27:52Z,,Casino have finally decided to drop all resort fee's to make customers happy!!
258,1,2018-09-04T21:27:52Z,,The hotel room was spacious and very comforting.
259,3,2018-09-04T21:27:52Z,,But all nd all the stay was amazing
260,1,2018-09-04T21:27:52Z,,Great Stay at the Fremont
261,1,2018-09-04T21:27:52Z,,Will come again!!!!
262,1,2018-09-04T21:27:52Z,,Had a good time
263,1,2018-09-04T21:27:52Z,,Great location!
264,4,2018-09-04T21:27:52Z,,Good downtown hotel
265,6,2018-09-04T21:27:52Z,,Everything was very convenient to get to.
266,1,2018-09-04T21:27:52Z,,Very comfortable and fun stay
267,1,2018-09-04T21:27:52Z,,We loved being in the center of action and its great value.
268,2,2018-09-04T21:27:52Z,,"Ease of access to multiple things, great places to eat."
269,2,2018-09-04T21:27:51Z,"4.5,5,2,3,5,4.5,4.5,4,4.5,4","There to visist family so being close to the T was important. Location , location, location."
270,2,2018-09-04T21:27:51Z,,Courteous and helpful staff!
271,2,2018-09-04T21:27:51Z,,Location!
272,1,2018-09-04T21:27:51Z,"5,4.5,4,4,4.5,4.5,4,4,4,4,4.5,3.5",Great Location
273,3,2018-09-04T21:27:51Z,,great hotel for couples in a great location
274,1,2018-09-04T21:27:51Z,,"Excellent location next to attractions, commercial area,..."
275,1,2018-09-04T21:27:51Z,,The location is central to a range of must-see sights
276,27,2018-09-04T21:27:51Z,,Adequate for one night stay in heart of Boston
277,2,2018-09-04T21:27:51Z,,"location, small comfortable room."
278,1,2018-09-04T21:27:51Z,,Great find in Boston
279,1,2018-09-04T21:27:51Z,,Awesome stay at the Charlesmark Hotel
280,10,2018-09-04T21:27:51Z,,would stay there again...and not boo thru your site
281,2,2018-09-04T21:27:51Z,,My wife and I stayed at the charlesmark for 4 days.
282,2,2018-09-04T21:27:51Z,,Location is fabulous.
283,3,2018-09-04T21:27:51Z,,Boston trip for MIT graduation days
284,1,2018-09-04T21:27:51Z,,Well located small hotel
285,1,2018-09-04T21:27:51Z,,I loved the room I was in.
286,10,2018-09-04T21:27:51Z,,Top location
287,6,2018-09-04T21:27:51Z,"4.5,4.5,5,3,4.5,4.5,4.5,4,4.5,4.5,4.5,4",1. Outstanding location!
288,1,2018-09-04T21:27:51Z,,"Modern style, great location, super helpful staff,..."
289,10,2018-09-04T21:27:51Z,,"bad experience, doesn't worth cash at all"
290,4,2018-09-04T21:27:51Z,,It was overpriced.
291,1,2018-09-04T21:27:51Z,"4.5,4.5,3.5,3,5,3,4.5,4.5,4,4",Feels cheaper
292,1,2018-09-04T21:27:51Z,,Really liked the modern feel to the place !
293,1,2018-09-04T21:27:51Z,,Fun
294,8,2018-09-04T21:27:51Z,"4,4.5,3.5,3.5,4.5,4,4.5,4,4,4.5,3.5,4",Wonderful great city and the hotel was in the perfect location
295,1,2018-09-04T21:27:51Z,"3,4,5,3.5,4,5,1,3.5,1,5",great location breakfast
296,1,2018-09-04T21:27:51Z,,great
297,2,2018-09-04T21:27:51Z,,The location was great.
298,5,2018-09-04T21:27:51Z,"4.5,4,4.5,4.5,4.5,4.5,4,4,4.5,4.5,4.5,4",Great location for midgets
299,31,2018-09-04T21:27:51Z,"4.5,3.5,4.5,4,4,3.5,4,3.5,4.5,4.5,4.5,4.5",I had a wonderful stay at this amazing and surprisingly cheap hotel.
300,9,2018-09-04T21:27:51Z,,Good location to explore Boston
301,4,2018-09-04T21:27:51Z,"4.5,3.5,4.5,4,4,4,4,4.5,4.5,4,4.5,4",Excellent
302,1,2018-09-04T21:27:51Z,,Excellent
303,154,2018-09-04T21:27:51Z,"4.5,4,4.5,4,4,4,4,4,4.5,4.5,4.5,4",Small rooms and beds but excellent location
304,1,2018-09-04T21:27:51Z,"4.5,4,4.5,4,4.5,4.5,4.5,4.5,4.5,4,4.5,4",Pleasantly surprised
305,2,2018-09-04T21:27:51Z,"3.5,3.5,4,3.5,4,4.5,4,4.5,4,4,4,3.5",Location and the New England style building and the room is...
306,24,2018-09-04T21:27:51Z,"4,4,4,4.5,4,4.5,4.5,4,4.5,4,4,4",Disappointing.
307,941,2018-09-04T21:27:51Z,"3.5,4,4.5,4.5,4,4,3.5,4.5,4,4.5,4",Not good
308,2,2018-09-04T21:27:51Z,,Bathroom was large and the speakers in the wall
309,159,2018-09-04T21:27:51Z,"4,4,3,3,4.5,4.5,4.5,4.5,4,4.5,4",The stay at charles mark hotel was comfortable. Affordable and in a great location.
310,2,2018-09-04T21:27:51Z,,Great hotel for a quick getaway
