res_id,name,tel,rank
167,Bo Dragon Dumplings,+82 2-585-7540,16473
168,Obo Stew,,19248
169,Ari Mountain,+82 2-555-2209,9298
170,"The Dala, - CLOSED",+82 2-322-4168,
171,Akki Ya,+82 2-3471-3453,5318
172,Bonggu Seu Rice Burger,+82 2-704-5789,16412
173,Ogago,+82 2-563-5919,22774
174,Ogam Busan House,,22774
175,Hui and Rak,+82 2-558-6898,26022
176,Pizza Koko,,20097
177,Gogigo,+82 2-548-9259,4928
178,Onigiri and Igyudong,+82 2-517-0290,26239
179,The Prince,+44 20 8888 6698,9318
180,The Shed,+44 20 7229 4024,743
181,Bar Du Metro,,
182,Henrietta Inman at Yardarm,+44 20 8556 0541,
183,Tuscolhe,(11) 2577-5519,6359
184,Ruen Thai Samsung,+82 2-546-6114,25645
185,Daedokjang Yeoksam,+82 2-562-5116,16734
186,Seonhyangjeong Shabu Shabu - Gongdeok,+82 2-707-0518,22774
187,Ediya Coffee - Oksu Station,+82 2-2298-5888,
188,Webfoot Octopus Kimchi Jjim Grill,,17224
189,Jongi Rice,+82 2-764-1253,13945
190,Chosun Brazier Grill,+82 2-3143-1300,896
191,Domino's Pizza,+82 2-587-7741,6176
192,Eorayeon Tuna & Sushi,+82 50-7990-2337,8810
193,Seoseo Galbi - Myeongdong,+82 10-3478-5880,3992
194,Chicken Floor,+82 2-2234-4341,14001
195,China Peulre in,+82 2-2205-2477,1807
196,Bomi Restaurant,,22774
197,McDonald's Yeongdeungpo,+82 2-2632-6321,1196
198,Marche Gangnam,+82 2-3482-7755,14708
199,Po Me in,+82 2-515-0504,18037
200,McDonald's Cheonho E-Mart,+82 2-488-3193,3052
201,Lotteria Geoyeo,+82 2-403-1156,22380
202,McDonald's Sinchon,+82 2-3147-0677,
203,McDonald's Noryangjin,+82 2-824-2508,4659
204,McDonald's Gangnam,+82 2-553-7635,3081
205,Pork Cheondong Restaurant,,16576
206,McDonald's Guui Station,+82 2-452-2060,4475
207,Yongudong Gangnam Station,+82 2-554-5272,14795
208,Bogo Ddobogo,,9579
209,Songpa Saengtae Jeonmun - Songpa,+82 2-414-6068,15331
210,Hyang Freshwater Eel Hardwood Charcoal Instant Grill,+82 2-863-0592,6640
211,Puju Ok,,6036
212,Pollack Love,,7009
213,Po Me in,+82 2-521-0722,22774
214,Pub One,+82 2-333-7138,5899
215,Dontamra Daehangno,+82 2-744-6992,17829
216,BEER TAP 7 - Junggye,+82 2-976-6003,4362
217,The Rubens at the Palace,+44 20 7963 0701,
218,Super Three Chinese Restaurant,+44 20 7515 8700,10055
219,Mirch Masala,+44 20 8679 1828,15658
220,Matthew's Kitchen Seafood and Grill,+44 20 3609 3336,4028
221,Big Boy BBQ,+82 2-794-3240,
222,Le Restaurant de Paul,+44 20 3978 5507,1379
223,Pit Je Ri Ao,+82 2-3673-5005,11603
224,Tom's Bistro,+82 2-379-8282,4780
225,Daldalae,+82 10-7543-0701,
226,Emoi Hapjeong,+82 2-332-9323,
227,Jongro Mung-Bean Pancake,,
228,Old Days Kkaetip Rice Cake Boki,,5122
229,Burger King,+82 2-416-6033,17842
230,Burger King,+82 2-3285-0332,21438
231,Yeongsu Ne Potato Soup,,7194
232,Burger King,+82 2-499-0332,14864
233,Urong Gol Chicken Hanmari,+82 2-928-5770,22774
234,Fire Pot Pizza and Rice Cake Boki,,11632
235,Do Ne Nu,+82 2-876-9286,26208
236,Deung Village Dong Shabu Shabu,,13816
237,Kkop Sari Rice Cake Boki,,18392
238,Do Ne Nu,+82 2-868-9285,7242
239,Do Ne Nu,+82 2-962-9285,9685
240,Do Ne Nu,,21470
241,Do Ne Nu,+82 2-720-7772,12242
242,Byeongcheon Hwangtobang Sundae Chungmuro,+82 2-2267-3574,14572
243,Café Stasio,+82 2-6202-2000,15292
244,Nolbu Sausage Stew,,22774
245,Chaeseondang Shincheon,+82 2-415-5933,14313
246,Koko Ro Pork Cutlet Speciality,,2636
247,Bizzare Rice Cake Boki,+82 2-2642-8592,15000
248,Koko Walnut Snack,+82 2-305-3593,18327
249,Koma Jji,,
250,Seorae,,22774
251,Caffe Bene  Hakdong Intersection Store,,22774
252,Bukchon Bingsu,+82 2-720-8233,
253,River Changgu Glutinous Rice Jin Sundae,+82 2-821-8871,19598
254,Buk Village Garden,+82 2-3673-3335,10927
255,Rulra Ton,+82 2-512-9994,
256,Saendeu Peure Cow,,22774
257,Sangdo Tripes,+82 2-821-3802,1966
258,Cafe Wood Ya,,22774
259,Bareu Miss Si Buffet,,8116
260,Ssangdungine,+82 2-336-9228,22774
261,Angyeong Halmeoni Gopchang,+82 2-2236-1954,15054
262,Petit Chel,+82 2-6740-4935,21282
263,Toreore Songpa Garakbondong,+82 2-400-5590,15048
264,Donggyeong Shikdang,+82 2-786-7220,14527
265,Idiya Coffee,,
266,Nakseong Drivers' Restaurant,,22774
267,Ozawa,+82 2-335-5551,22774
268,Nin Sushi,+82 2-539-8003,18992
269,Ninja Sushi,+82 2-953-5945,20872
270,Jaemi Aega,+82 2-722-1117,6643
271,Le Petit Prince,+82 2-733-3711,22774
272,Nolbu Sausage Stew,,21953
273,Pain de Papa,+82 2-543-5232,13157
274,Old Days House,,20509
275,Onsu Noodles Soup,,19032
276,Pastry  Boutique,,
277,Je Ne Reol Chinese Restaurant,+82 2-6002-1920,8066
278,Oz's Kitchen,+82 2-517-0113,22774
279,Patisserie Michot,+82 10-6397-9987,
280,Paeti Paeti,+82 2-6030-8940,3270
281,Han Village Ox Bone Soup,+82 2-2093-7877,25448
282,Ho Asen,,18515
283,Nakji Madang,+82 2-833-9300,9865
284,Ho Asen,,18299
285,New York Shabu Shabu,+82 2-753-0020,22358
286,Nolbu Budaejjigae,+82 2-776-6119,2510
287,Gongcha,+82 2-3453-0944,2241
288,Great Fortune Noodles House,+82 2-903-4141,10436
289,Keunson Dak Hanmari,+82 2-419-1848,1013
290,Fire Rice,+82 2-362-9833,
291,Ku Chi Nabi No,,20892
292,Gyu Taro,,19864
293,Gyusu Dang Buffet,,13805
294,Ikdong Jeongyukjeom,+82 2-765-8215,5301
295,Fire Webfoot Octopus,,14913
296,Noodles Rang Pancake I,,17747
297,Fish & Grill,+82 2-817-8599,22774
298,PO:Z Kitchen,+82 2-6936-9878,6302
299,Hanam Pig - Myeongdong 1,+82 2-772-9995,469
300,Om Restaurant Mapo Gongdeok,+82 2-725-4848,2436
301,L Artiste Gril,,11075
302,Pelicana Yangjae,+82 2-574-8631,22774
303,Gurkha Indian Restaurant,+82 2-775-8860,122
304,Butecus Santa Tereza,+55 19 99672-7905,10005
305,Tangran Sushi,,8106
306,Starbucks,+55 11 3141 0947,
307,Rubaiyat Faria Lima,+55(11)3165-8888,317
308,Noodles Tree,,7631
309,Gulab Hari,+55 11 3283-1292,61
310,Beong Gu Ribs,,11511
311,Le Courcelles,+33 1 47 63 23 52,15077
312,Eataly - Restaurante Brace,,17366
313,15 Call Room Ba,,10718
314,Button Up Bar & Kitchen,+82 70-8865-1643,9537
315,Noodles Tree,,12726
316,1500Kilromiteo Hof Square,,22774
317,Noodles Tree,+82 2-2659-2607,22774
318,3Hoseon China,,9278
319,40192 Roll,,20776
320,502 Coffee Station,+82 70-7622-0502,
321,453 Kitchen,+82 2-473-9688,11148
322,Omori Jjigae Cheongdam,+82 2-3442-5777,10381
323,Be Ikeu&Peurai,,14280
324,59 Rice Pizza,+82 2-953-5982,13703
325,And Ti and Seu,,7421
326,giovanni ´s restaurant,+55 11 3259-9894,1549
327,Hwapo Restaurant,,1176
328,Mmth,,19006
329,Divinus Boulevard,,4983
330,Restaurante Estacao Berrini,,10145
331,Espeto Gourmet,,13866
332,Restaurante Viana,,7260
333,Vecchia Tavola,,12415
334,"Dna Natural, - CLOSED",,
335,Pizzaria Nova Nazare,,11219
336,Gepetto,,6267
337,Jackson Lanchonete,,16866
338,Galpao da Mamma,+55 11 2365-3486,
339,Castelinho Beer,,13260
340,Fritos & assados,(11) 5044-3878,1019
341,Marcelo Farias de Oliveira Lanchonete - Epp,,15612
342,Casa Do Norte Do Bill,,9470
343,Canard Street Paris,+33 1 47 03 38 32,1429
344,Hubert,+33 1 48 74 40 85,9692
345,Churrascaria Saloia,1132278202,10964
346,Oliva,+33 6 64 83 47 37,
347,Hanoi Ca Phe,+33 1 48 78 03 61,1422
348,Au P'tit Curieux,+33 1 84 25 53 32,44
349,Khaaw Hoom,+33 9 86 38 68 93,9080
350,EKEKO - Saltenas y empanadas,+55 11 4305-7007,
351,Pios,,8324
352,Odorico Mendes,,16861
353,Bareu Mi Shabu Shabu,+82 2-3437-1005,6406
354,Mrj Dourados,5.51E+11,6751
355,Scalinata Pizzeria Gourmet,+55 11-3771-3377,2074
356,Padaria Pao Do Lar,1122735331,3868
357,Senta Ai,,8255
358,Kaori Sushi,5.51E+11,1639
359,Muza,+55 11 3044-3822,2217
360,Biroska,3244-0586,7972
361,"Memere Paulette, - CLOSED",+33 1 40 26 12 36,
362,Planeta Verde,,8752
363,Moreira Paes e Doces,,8307
364,The Original Cupcake,,11130
365,"Office Cyber, - CLOSED",,
366,Viva La Vida,,12097
367,Nova Roma,+55 11 3804-4999,16616
368,"Pakiza, - CLOSED",+33 9 52 48 99 89,
369,Well's Frei Caneca,(11) 3545 4427,4586
370,Dilia,+33 9 53 56 24 14,
371,Mont Kita Sushi,+33 1 40 71 05 06,9876
372,Vin Et Whisky Maison Claudel,+33 1 45 87 17 95,5139
373,Le Tagine,+33 1 47 00 28 67,5871
374,Lockwood,+33 1 77 32 97 21,
375,L'Esprit De Famille,+33 1 44 59 85 51,
376,Café Mirabelle,+33 1 43 79 27 46,4673
377,The Beans on Fire,+33 1 43 55 94 73,
378,Paris French Cantine,+33 9 50 69 18 58,
379,Royal Express,,14661
380,Bistro Mavrommatis Passy,+33 1 40 50 70 40,5054
381,Lahore Lahore Restaurant,+33 1 44 83 98 56,11346
382,Bar de la Croix Rouge,+33 1 45 48 06 45,14314
383,Burger King,+33 1 43 87 65 78,
384,Atelier Fratelli,+33 9 86 48 20 94,6616
385,Restaurante Qualitt Grill,,11881
386,Il Pirata,+44 20 7481 0400,4617
387,Hure,+33 1 47 04 66 55,
388,Kanaco,+33 1 45 86 39 08,8594
389,Chez Nous²,+33 1 45 57 78 13,
390,Delfino,+33 1 53 61 02 90,4596
391,Don Jacomo,+33 1 48 05 82 26,9896
392,L'Instant d'Or,+33 1 47 23 46 78,7306
393,Aquarius,+33 1 45 41 36 88,2449
394,Senatore Caffe,+33 9 81 81 45 59,3542
395,Maison Teissedre,+33 1 42 60 42 71,
396,O Fil De L'O,+33 1 43 54 19 51,11359
397,"Les Relais d’Alsace, - CLOSED",+33 1 43 43 88 30,
398,Aux Fourreurs,+33 1 45 23 10 30,5382
399,Monts et Rizières,,3481
400,Pomme de Pain,+33 1 64 22 18 36,9526
401,Pink Flamingo,+33 1 42 71 28 20,1253
402,Yoshi,+33 9 81 98 45 00,8505
403,Bô Caribbean Bar,+33 6 35 40 12 25,9192
404,Sugarplum cake shop,+33 1 46 34 07 43,5614
405,Gotham,+33 1 42 50 38 66,6428
406,Le Sept Bis,+33 6 32 92 00 40,6367
407,Cool & Workers,+33 1 80 88 48 28,11394
408,Cuillier,,
409,Starbucks,+33 1 40 20 08 37,
410,Chez Julien,+33 1 42 64 21 20,
411,L'Amour Vache,+33 1 77 12 76 34,2299
412,Le Pavillon du Ciel,+33 1 43 80 32 65,11445
413,Uma Nota,+33 1 42 33 07 71,766
414,Boulangerie Rouges,,
415,,,
416,Le Fouquet's,+33 1 40 69 60 50,
417,Cantonnais,+33 1 47 34 63 77,14315
418,Circus,,
419,La Tute,+33 1 40 15 65 65,
420,Hous Coffee,,
421,Cafe Les Fistons,+33 1 42 58 72 33,
422,Kalunga Bar E Lanches,,11207
423,La Fruta,,5133
424,Emporio Do Pastel,+55 11 3903-5454,6186
425,MF Chicken Paris (Pte d'Orléans),+33 1 45 42 83 16,9790
426,Beaurepaire Cafe,+33 1 43 29 73 57,2092
427,O’Riz Blanc,+33 1 48 06 95 79,1177
428,Cul de Cochon,+33 1 43 25 63 41,
429,Starbucks,+33 1 44 53 02 89,
430,Ethio-Saris,+33 6 31 06 16 34,9581
431,Goutu,,
432,Top nem,+33 9 54 88 29 86,10223
433,La Gondola,+33 1 49 23 02 63,5546
434,A Casaluna,+33 1 42 60 05 11,1580
435,BoBun Moi,+33 1 47 07 54 87,
436,Ancienne Maison Gradelle,+33 1 47 70 03 23,844
437,Al Solito Posto,+33 1 42 71 79 25,
438,Café du Théâtre,+33 1 42 55 85 57,7777
439,Les Trois Royaumes,+33 6 17 08 89 77,7070
440,Cia Das Batatas,,13689
441,Sunny,+33 9 53 70 41 04,10305
442,YELLO'S,+33 1 42 00 90 91,6167
443,le papacionu,+33 1 45 23 90 03,475
444,L'Ecrin,+33 1 44 71 15 30,1261
445,Ayama,+33 1 43 97 03 96,15060
446,Pachamama,+33 1 55 78 84 75,15245
447,Le Recrutement Cafe,+33 1 47 05 46 85,3925
448,Matchan,+33 1 45 77 03 50,8201
449,Aux Délices de Gambetta,+33 1 43 58 41 18,
450,KAZ BAR,+33 9 54 46 44 45,6739
451,Dada 1920,+33 1 55 65 19 20,10340
452,Aux Deux Cygnes,+33 9 80 52 45 66,6983
453,La Fontaine de Belleville,+33 1 42 85 79 37,9383
454,Le Tonnelier De Breteuil,+33 1 45 51 29 43,10341
455,Cafe Custine L'instant,+33 1 72 38 36 23,
456,Le Deauville,+33 1 42 25 08 64,10563
457,Parker Pizza,+33 1 42 52 39 42,9583
458,Housechill Bar,+33 7 61 10 68 63,
459,Tandoori Nights,+44 20 7831 2558,12734
460,Sambal Shiok,+44 20 7619 9888,7650
461,Delicias de Portugal,,12196
462,Dixy Chicken,+44 20 8881 7334,12298
463,Cupim Casqueirado da Mooca,5.51E+11,1071
464,Delicias Glauci,32514642,
465,LikesBurger,+55 11 5573-5371,10470
466,Tia Anastacia,,13510
467,Lanchonete Estrela Da Matarazzo,,9562
468,Padaria 2 Amigos,,10561
469,La Gondola,,10433
470,Esfiha Chic,+55 11 2977-8110,15612
471,Varanda's,,15028
472,Le Relais d'Or,+33 1 43 41 26 41,13989
473,Jardin de Sans Souci,+33 1 43 80 01 40,6539
474,Padaria Cpl,+55 11 3087-9797,
475,Ponto Mineiro,,13424
476,,,14364
477,OFNER - Pinheiros-SP,1130345141,15612
478,Pastelaria Kituutss,+55 11 2653-0226,4090
479,Restaurante Castelo & Campeao,,5902
480,Altas Horas Bar,,15576
481,Bahar Restaurante,+55 11 5181-4602,5454
482,Sukiya,,3673
483,"Salad Creations, - CLOSED",,
484,Tuela Grill,5.51E+11,1153
485,Mate Por Favor,11-3266-7822,
486,Pizzeria Romanella,+33 1 45 58 43 24,2460
487,I Cugini,+33 1 48 01 65 34,10479
488,Aux Delices Dang,,15148
489,Torino,+33 1 43 57 72 83,6473
490,Kopenhagen,+55 11 5573-9384,
491,Corcorans Sacre Coeur,+33 1 72 34 83 43,4802
492,Gallery,+33 9 84 27 21 21,
493,Champa Lao,+33 1 48 28 11 56,
494,Hangar Jk,,9018
495,Starbucks - Avenida Jorge João Saad,,
496,Flying Sushi Perdizes,+55 11 3588-1615,4833
497,Le Pavillon Montsouris,+33 1 43 13 29 00,2314
498,Grenouilles Paris,+33 6 65 13 95 67,
499,Fondue 59,+33 6 59 62 73 81,10811
500,Va Te Faire Food,,
501,Restaurant Le Saint-Germain - Hotel Lutetia,+33 1 49 54 46 00,1273
502,Pappadums,,13830
503,The Crowndale,+44 20 7383 0819,14692
504,Levain Le Vin,+33 6 61 06 86 13,2365
505,Akar Kebabs,+44 20 8805 9962,13712
506,The Courtyard Cafe,+44 20 8748 2266,15131
507,Perfetta Italian Pizzeria,+44 20 7237 0777,14030
508,Subway,+44 20 7381 0681,12990
509,Twisterlicious,+44 20 7734 6162,8888
510,Bonds,+44 20 7629 0531,6266
511,Tito's Sandwich Bar,+44 20 7916 2333,12434
512,The White Horse,+44 20 7437 5745,14468
513,Spicy World,+44 20 7630 9951,15531
514,Manila Kitchen,,10483
515,Jour - Bercy,,11768
516,The Old Ship,,16346
517,Britannia Pub,+44 20 7320 0784,14896
518,Tart,+44 20 8299 4989,11244
519,Haagen-Dazs,+33 1 46 06 03 75,14939
520,"Respect The Dough, - CLOSED",+44 7527 937847,
521,Vine Restaurant,+44 20 7404 6230,15530
522,Sushi Shop,+44 20 7052 9222,14197
523,Woods Fish Bar,+44 20 8989 0406,6855
524,The Hanbury Arms,+44 20 7288 2222,11430
525,Chez Monet,+44 7980 522429,13619
526,Cafe Carmel,,10521
527,Kantin Kitchen,+44 20 8888 7055,9608
528,Starbuck's,,
529,The Masons Arms,+44 20 7580 6501,7148
530,Pho Hot,,8654
531,Kingsgate,+44 20 7328 9480,14804
532,Chai Wu,+44 20 3819 8888,3309
533,Maria's Fish & Chips,+44 20 7207 3630,
534,Clapton Hart,+44 20 8985 8124,
535,The Crown & Sceptre,+44 20 8671 0843,
536,Victoria Millie's Cookies,+44 20 7932 0183,
537,Bubbleology,+44 20 7494 4231,
538,China Golden Gate,+44 20 8556 6664,
539,Top Pizza,+44 20 7263 4050,13838
540,Niazi Foods,+44 20 3538 0123,3
541,The Rectory,+44 20 7622 4019,4203
542,The Greyhound Pub,+44 20 3302 1551,
543,Marriott,+44 20 7928 5200,6426
544,Tony's Delicatessen,+44 20 7582 0766,11806
545,Yaal,+44 20 8471 6744,10538
546,The Good Life Eatery,+44 20 7838 9172,
547,La Basque,+44 20 8451 6611,11589
548,Fish Central,+44 20 7253 0229,251
549,Entrecote Cafe de Paris,+44 20 7935 3030,
550,The Old City Arms,+44 20 8748 2359,3523
551,The Northall,+44 20 7321 3100,775
552,The Kitchen,+44 20 8509 2144,505
553,Viena Café - Conjunto Nacional,800122564,
554,D'Art Paes e Doces,,15566
555,Habib's,+55 11 5566-6549,7412
556,Lanchonete Cheescake,,10013
557,The Collection Steakhouse & Sushi Bar,5.51E+11,6244
558,Recanto Esperanca,,11514
559,Pophams Bakery,,
560,Troubadours,+33 1 47 97 21 08,6921
561,Dib Especialidades Árabes,+55 11 3871-5778,1997
562,Il Bianco,+44 20 7987 2998,3320
563,Casablanca,+44 20 7502 9511,15496
564,McDonald's,1136115171,15612
565,Giraffe,+44 20 8536 0335,10246
566,Art Cafe,,10894
567,Hamburguer Chopp Jangada,,9577
568,Gourmet Burger Kitchen,+44 20 7243 4344,
569,La Terrasse,+33 1 47 20 51 51,7510
570,Le Pain Au Naturel,+33 1 49 58 10 48,
571,La Pantoche,+33 1 43 56 79 01,10311
572,Yellow Tucan,,
573,Santoré,+44 20 7812 1488,1381
574,Hawker Street,+44 20 7287 3328,14149
575,Ferfect Fried Chicken,+44 20 8291 3389,14379
576,Taste of India,+44 20 3645 5963,
577,"MonkeyNuts, - CLOSED",+44 20 8340 4466,
578,Peggy Porschen Chelsea,+44 20 7730 1316,
579,Azou,+44 20 8563 7266,116
580,White Mustache,+44 20 7388 0944,7701
581,The Tasting Rooms,+44 20 8293 1111,5036
582,Franx Continental Cafe,+44 20 7836 7989,375
583,Cafe 57,+44 20 8457 9433,12390
584,Cafe Raj,+44 20 8294 2494,6928
585,"Jays, - CLOSED",-82041531,
586,Wasabi,+44 20 7428 1550,6072
587,Avenue House Cafeteria,+44 20 8346 7812,11208
588,"Lamberts, - CLOSED",+44 20 8675 2233,
589,Greenwich Kitchen,+44 20 8305 9757,6111
590,The Laughing Heart,+020 7686 9535,6933
591,Langans Brasserie,+44 20 7491 8822,1424
592,Subway,+44 20 7930 5998,15615
593,Le Colombier,+44 20 7351 1155,890
594,Acai Villa Saudavel,1134594995,9841
595,Inhabition,+44 20 7485 1440,
596,Açaí Magnífico - Vila Romana,5.51E+12,10252
