cuisiness_ID,primary_cuisiness,cuisines,special_diets,cus_rest_rank
216,American,"American, Brew Pub, Pub, Gastropub",,161
217,British,British,"Vegetarian Friendly, Vegan Options, Gluten Free Options",
218,Chinese,"Chinese, Asian",Vegetarian Friendly,349
219,Indian,"Indian, Asian, Pakistani","Halal, Vegetarian Friendly",1088
220,Seafood,"Seafood, Mediterranean, European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",154
221,Unknown,American,,
222,French,"French, Cafe, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",100
223,Unknown,,,
224,Unknown,,,
225,Unknown,"Asian, Korean",,
226,Unknown,Vietnamese,,
227,Unknown,,,
228,Unknown,,,
229,Unknown,,,
230,Unknown,,,
231,Unknown,,,
232,Unknown,,,
233,Unknown,,,
234,Unknown,,,
235,Unknown,,,
236,Unknown,,,
237,Unknown,,,
238,Unknown,,,
239,Unknown,,,
240,Unknown,,,
241,Unknown,,,
242,Unknown,"Asian, Korean",,
243,Unknown,Cafe,,
244,Unknown,,,
245,Unknown,Fusion,,
246,Unknown,,,
247,Unknown,,,
248,Unknown,,,
249,Unknown,,,
250,Unknown,,,
251,Unknown,Cafe,,
252,Dessert,Cafe,,117
253,Unknown,,,
254,Unknown,,,
255,Unknown,,,
256,Unknown,,,
257,Unknown,,,
258,Unknown,,,
259,Unknown,,,
260,Unknown,"Asian, Korean",,
261,Unknown,,,
262,Unknown,,,
263,Unknown,,,
264,Unknown,Japanese,,
265,Unknown,,,
266,Unknown,,,
267,Unknown,,,
268,Unknown,,,
269,Unknown,,,
270,Unknown,,,
271,Unknown,,,
272,Unknown,,,
273,Unknown,,,
274,Unknown,,,
275,Unknown,,,
276,Bakeries,,,
277,Unknown,,,
278,Unknown,,,
279,Unknown,,,
280,Fast Food,Fast Food,,84
281,Unknown,,,
282,Unknown,,,
283,Unknown,"Asian, Korean",,
284,Unknown,,,
285,Unknown,Japanese,,
286,Unknown,"Asian, Korean",,
287,Unknown,,,
288,Unknown,,,
289,Unknown,"Asian, Korean",,
290,Unknown,,,
291,Unknown,,,
292,Unknown,,,
293,Unknown,,,
294,Unknown,,,
295,Unknown,,,
296,Unknown,,,
297,Unknown,,,
298,American,American,,195
299,Asian,"Asian, Korean",,261
300,Unknown,,,
301,Unknown,,,
302,Unknown,,,
303,Indian,Indian,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",6
304,Brazilian,"Brazilian, Pub, Gastropub, South American",,3219
305,Unknown,,,
306,Dessert,"American, Cafe",,
307,Steakhouse,"Steakhouse, Brazilian, Barbecue, Grill",,41
308,Unknown,,,
309,Healthy,Healthy,"Vegetarian Friendly, Vegan Options, Gluten Free Options",7
310,Unknown,,,
311,French,"French, Bar, Cafe, European",,6835
312,Unknown,,,
313,Unknown,,,
314,Unknown,,,
315,Unknown,,,
316,Unknown,,,
317,Unknown,,,
318,Unknown,,,
319,Unknown,,,
320,Unknown,,,
321,Unknown,,,
322,Unknown,,,
323,Unknown,,,
324,Unknown,,,
325,Unknown,,,
326,Italian,Italian,,331
327,Unknown,,,
328,Unknown,,,
329,Brazilian,"Brazilian, South American",,2223
330,Unknown,,,
331,Unknown,,,
332,Unknown,,,
333,Unknown,,,
334,Unknown,,,
335,Unknown,,,
336,Italian,"Italian, European",,965
337,Unknown,,,
338,Italian,"Italian, European, Portuguese",,
339,Unknown,,,
340,Brazilian,Brazilian,,347
341,Greek,Greek,,52
342,Unknown,,,
343,French,"French, Grill, Street Food",,953
344,French,French,,5112
345,Unknown,,,
346,Italian,"Italian, European",,
347,Asian,"Asian, Vietnamese, Healthy","Vegetarian Friendly, Vegan Options",144
348,Italian,"Italian, French, Gastropub, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",7
349,Thai,Thai,,347
350,Bakeries,"Argentinean, South American, Italian, Brazilian, Latin, Spanish",,137
351,Unknown,,,
352,Unknown,,,
353,Unknown,,,
354,Unknown,,,
355,Italian,"Italian, Pizza",,420
356,Brazilian,Brazilian,,1705
357,Unknown,,,
358,Japanese,"Japanese, Sushi, Asian, Seafood",Vegetarian Friendly,187
359,Italian,"Pizza, Contemporary, Healthy, Italian","Vegan Options, Gluten Free Options",
360,Brazilian,"Brazilian, Bar, Pub, South American",,2909
361,French,French,,
362,Unknown,,,
363,Unknown,,,
364,Unknown,,,
365,Unknown,,,
366,Unknown,,,
367,Brazilian,"Brazilian, South American",,3635
368,Unknown,,,
369,Brazilian,"Brazilian, South American",,2068
370,Italian,"Italian, French, European",,
371,Japanese,Japanese,,595
372,Wine Bar,Wine Bar,,226
373,Moroccan,Moroccan,Vegetarian Friendly,82
374,French,"French, Bar",,
375,French,French,,
376,French,"Deli, French",Vegetarian Friendly,2775
377,Cafe,Cafe,,
378,Quick Bites,"French, Fast Food",Halal,95
379,Unknown,,,
380,Mediterranean,"Greek, Mediterranean",Vegetarian Friendly,554
381,Unknown,,,
382,French,"French, Bar, Cafe",,6582
383,Quick Bites,"Fast Food, American",,
384,Italian,"Italian, Street Food",Vegetarian Friendly,837
385,Unknown,,,
386,Sicilian,"Sicilian, Southern-Italian","Vegetarian Friendly, Vegan Options",46
387,French,"European, French",,
388,Japanese,"Japanese, Asian, Vietnamese",,498
389,French,French,,
390,Italian,"Italian, Pizza, European",Vegetarian Friendly,622
391,Italian,"Italian, Mediterranean, Pizza",,1169
392,French,French,,4088
393,French,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",1552
394,Italian,"Italian, Pizza","Vegetarian Friendly, Vegan Options",472
395,French,"French, Cafe",,
396,French,French,,5723
397,French,"French, European, Pub, Diner, Gastropub, South American, Colombian",,
398,French,French,,3133
399,Fast Food,"Asian, Vietnamese, Fast Food","Vegetarian Friendly, Vegan Options",95
400,French,French,,5054
401,Italian,"Italian, Pizza",Vegetarian Friendly,174
402,Japanese,"Japanese, Asian",,489
403,Cajun & Creole,Cajun & Creole,,27
404,American,American,,186
405,French,French,,3677
406,French,French,,3647
407,French,"French, American",,5736
408,French,"French, Cafe, European",Vegetarian Friendly,
409,Cafe,Cafe,,
410,French,"French, Bar, Cafe, European",,
411,French,"French, Bar, European, Pub",Vegetarian Friendly,1461
412,Unknown,,,
413,Japanese,"Japanese, Brazilian, Street Food, Asian",,30
414,Unknown,,,
415,,,,
416,French,French,"Vegetarian Friendly, Vegan Options",
417,Chinese,Chinese,,648
418,Bakeries,American,,126
419,French,"French, European",,
420,Cafe,Cafe,,
421,French,"French, Cafe, Bar",,
422,Unknown,,,
423,Diner,Diner,Vegetarian Friendly,593
424,Brazilian,"Brazilian, Bar, Pub, South American",,2567
425,American,"American, Barbecue, Street Food",,309
426,French,"French, European",Vegetarian Friendly,1341
427,Chinese,"Asian, Thai, Vietnamese, Chinese","Vegetarian Friendly, Vegan Options",16
428,Bakeries,,,
429,Quick Bites,Cafe,,
430,Vegetarian Friendly,,Vegetarian Friendly,
431,Contemporary,Contemporary,,
432,Chinese,Chinese,,468
433,Italian,"Italian, Pizza, Mediterranean, European, Sicilian, Southern-Italian",Vegetarian Friendly,726
434,French,"French, Mediterranean, European",,1048
435,Asian,"Asian, Vietnamese",Vegetarian Friendly,
436,French,"French, European",,575
437,Italian,"Italian, Pizza, European, Mediterranean",Vegetarian Friendly,
438,French,"French, Moroccan, Cafe, Mediterranean",,4323
439,Chinese,"Asian, Chinese",,266
440,Unknown,,,
441,Korean,Korean,,163
442,Healthy,Healthy,,260
443,Italian,"Italian, Pizza","Vegetarian Friendly, Vegan Options",62
444,French,French,,854
445,Japanese,Japanese,,893
446,French,"Argentinean, French, International",,6897
447,French,"French, Bar, Cafe, European",Vegetarian Friendly,2370
448,Japanese,"Japanese, Barbecue",,463
449,Unknown,,,
450,French,"Brew Pub, French, Steakhouse, Diner, Wine Bar",,3827
451,Unknown,,,
452,Wine Bar,Wine Bar,,304
453,French,"European, French, Cafe",,4997
454,Unknown,,,
455,Unknown,,,
456,French,"French, European",Vegetarian Friendly,5458
457,American,"American, Pizza",,300
458,French,"French, Brew Pub, Pub, Wine Bar",,
459,Indian,"Indian, Asian",,893
460,Asian,"Asian, Malaysian",,1383
461,European,"European, Portuguese",,2408
462,Fast Food,Fast Food,,1118
463,Brazilian,"Brazilian, South American",,364
464,Dessert,,,197
465,Diner,Diner,,805
466,Unknown,,,
467,Unknown,,,
468,Unknown,,,
469,Unknown,,,
470,Middle Eastern,Middle Eastern,,233
471,Unknown,,,
472,Middle Eastern,Middle Eastern,,438
473,Chinese,"Chinese, Asian",Vegetarian Friendly,244
474,Dessert,"Brazilian, Cafe, South American",,434
475,Unknown,,,
476,Unknown,"American, Pub",,
477,Unknown,,,
478,Brazilian,"Brazilian, Fast Food, South American",,1816
479,Unknown,,,
480,Unknown,,,
481,Lebanese,"Lebanese, Mediterranean, Middle Eastern",,186
482,Japanese,"Japanese, Asian, Fast Food",,445
483,Unknown,,,
484,Brazilian,"Brazilian, Portuguese, European, South American",Vegetarian Friendly,399
485,Brazilian,"Brazilian, Diner, Cafe, South American",Vegetarian Friendly,
486,Italian,"Italian, Mediterranean, European",Vegetarian Friendly,336
487,Italian,"Italian, Pizza",,1236
488,Unknown,,,
489,Italian,"Italian, Pizza",Vegetarian Friendly,819
490,Cafe,Cafe,,
491,Irish,"Irish, Bar, European, British, Pub",,7
492,Vegetarian Friendly,,Vegetarian Friendly,
493,Asian,"Asian, Thai",Vegetarian Friendly,
494,Unknown,,,
495,American,"Cafe, American",,
496,Japanese,"Japanese, Sushi, Asian",,
497,French,"French, European",,1469
498,Quick Bites,"Fast Food, French, Street Food",Vegan Options,2
499,Chinese,"Chinese, Asian",,495
500,Italian,"Italian, French, Spanish, Fusion, Street Food",,
501,French,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",860
502,Indian,Indian,,967
503,Unknown,,,
504,French,"Wine Bar, French",,1499
505,Middle Eastern,Middle Eastern,,809
506,Cafe,"Cafe, European",,3284
507,Italian,"Pizza, Italian, Fast Food",,1857
508,Unknown,,,
509,German,"German, European, Hungarian",,22
510,Bar,"Bar, Pub, British",Vegetarian Friendly,1363
511,Peruvian,"Peruvian, South American",,35
512,Bar,"Bar, Pub, British",,2302
513,Indian,"Indian, Asian",,1081
514,Filipino,"Filipino, Asian",,15
515,French,"French, Fast Food, European, Healthy",,5864
516,Bar,"Bar, Pub, British",,2398
517,British,British,,4124
518,Cafe,"Cafe, British",,2623
519,Unknown,,,
520,Unknown,,,
521,Italian,Italian,,1962
522,Japanese,"Japanese, Sushi, Asian",Vegetarian Friendly,653
523,Seafood,"Seafood, British, Fast Food",,238
524,Bar,"Bar, Pizza, Pub",,2174
525,French,"French, Indian",,461
526,Cafe,"Cafe, British",,2435
527,British,British,,3369
528,Unknown,,,
529,Bar,"Bar, Pub, Thai, British",Vegetarian Friendly,1582
530,Unknown,,,
531,British,British,,4118
532,Chinese,"Asian, Chinese","Vegetarian Friendly, Vegan Options",77
533,Seafood,"Fast Food, Seafood, British",,
534,Bar,"Bar, British, Pub",,
535,Bar,"Bar, British, Pub",Vegetarian Friendly,
536,Dessert,Cafe,,372
537,Quick Bites,,,
538,Quick Bites,"Chinese, Fast Food, Asian",,1841
539,Unknown,,,
540,Unknown,,,
541,Bar,"Bar, British, Pub, Healthy, Gastropub","Vegetarian Friendly, Gluten Free Options",843
542,Pub,Pub,,320
543,British,British,,2439
544,Deli,Deli,,147
545,Indian,"Sri Lankan, Indian, Asian",Vegetarian Friendly,747
546,Quick Bites,Cafe,"Vegetarian Friendly, Vegan Options",1018
547,Pizza,Pizza,,942
548,Seafood,"Seafood, British","Vegetarian Friendly, Gluten Free Options",17
549,French,"European, French, Steakhouse",,
550,Bar,"Asian, Thai, Pub, Bar","Vegetarian Friendly, Vegan Options",664
551,European,"European, British","Vegetarian Friendly, Gluten Free Options, Vegan Options",341
552,International,"European, British, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",20
553,Cafe,Cafe,,
554,Unknown,,,
555,Unknown,,,
556,Unknown,,,
557,Unknown,"Japanese, Steakhouse, Sushi, Asian, South American",,
558,Unknown,,,
559,Bakeries,Cafe,Vegetarian Friendly,
560,European,European,,3108
561,Lebanese,"Lebanese, Middle Eastern, Mediterranean, Turkish",,87
562,Italian,"Italian, European, Pizza, Mediterranean",Vegetarian Friendly,626
563,Caribbean,Caribbean,,180
564,Unknown,,,
565,Italian,"Italian, Chinese, African, European, British",,1541
566,Unknown,,,
567,Unknown,,,
568,American,"American, International",,
569,French,"French, European",,4195
570,Bakeries,French,,86
571,French,"French, American, Moroccan, Mediterranean",Halal,5372
572,Unknown,,,
573,Italian,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options",274
574,Chinese,Chinese,,545
575,Unknown,,,
576,Indian,"Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",
577,American,American,,
578,Dessert,"Contemporary, Cafe, British",,226
579,African,"African, Moroccan, Mediterranean, Middle Eastern, Algerian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",2
580,British,British,,2869
581,American,"Bar, British, Pub, American, Brew Pub",,213
582,Cafe,"Cafe, European, British","Vegetarian Friendly, Vegan Options",56
583,Unknown,,,
584,Indian,"Indian, Asian, Bangladeshi",Vegetarian Friendly,471
585,Chinese,"Chinese, Indian, International",,
586,Japanese,"Japanese, Sushi, Asian, Fast Food",Vegetarian Friendly,299
587,Unknown,,,
588,British,British,,
589,Pizza,"European, Pizza",Vegetarian Friendly,609
590,Wine Bar,Wine Bar,"Vegetarian Friendly, Gluten Free Options",197
591,European,"European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",
592,American,American,,675
593,French,"French, European","Vegetarian Friendly, Gluten Free Options",70
594,Seafood,Seafood,,272
595,Cafe,"Cafe, British",Vegetarian Friendly,
596,Brazilian,"Brazilian, Healthy, South American",,3239
597,Unknown,,,
598,French,"French, Mediterranean, European, Healthy","Vegetarian Friendly, Vegan Options, Gluten Free Options",20
599,Chinese,"Chinese, Asian",Vegetarian Friendly,171
600,Quick Bites,"Diner, Bar, Pub",,
601,French,French,,4409
602,French,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",733
603,Unknown,,,
604,Bakeries,French,,218
605,French,French,,
606,American,American,,423
607,Japanese,Japanese,,1028
608,French,"French, European",,
609,Unknown,,,
610,Japanese,Japanese,,864
611,Unknown,,,
612,Mediterranean,"Mediterranean, Middle Eastern","Vegetarian Friendly, Vegan Options, Gluten Free Options",22
613,French,"Barbecue, French",,4045
614,American,American,,712
615,Brazilian,"Brazilian, South American",,852
616,Chinese,"Chinese, Asian","Vegetarian Friendly, Vegan Options",
617,Italian,"Bar, Italian, Sicilian, Southern-Italian",Gluten Free Options,268
618,British,British,"Vegetarian Friendly, Gluten Free Options",2249
619,Brazilian,Brazilian,,625
620,Unknown,,,
621,Unknown,,,
622,Bakeries,"Brazilian, Cafe, European, South American",,74
623,Italian,Italian,,1240
624,Brazilian,"Brazilian, South American",,1429
625,Unknown,,,
626,Bar,"Bar, Pizza, Pub",,770
627,Unknown,,,
628,Unknown,,,
629,Quick Bites,"Cafe, French, British, Diner, Street Food",,
630,Bar,"Bar, Pub",,765
631,Unknown,,,
632,Unknown,,,
633,Bar,"Bar, Pub",,1060
634,Unknown,,,
635,Unknown,,,
636,Arabic,Arabic,,
637,Cafe,"Cafe, Deli",,1128
638,Unknown,,,
639,Pizza,Pizza,,
640,Unknown,,,
641,Unknown,,,
642,Brazilian,"Brazilian, South American",,3726
643,Lebanese,"Lebanese, Middle Eastern, Arabic, Mediterranean",,71
644,Unknown,,,
645,Brazilian,"Brazilian, South American",,2857
646,,,,
647,Steakhouse,"Argentinean, Steakhouse, Barbecue, South American",,266
648,Unknown,,,
649,Cafe,Cafe,,
650,Unknown,,,
651,Fast Food,Fast Food,,718
652,Caribbean,Caribbean,,10
653,Dessert,,,276
654,Italian,"Italian, Mediterranean, European",Vegetarian Friendly,201
655,Japanese,"Japanese, Sushi, Asian",,860
656,Lebanese,"Lebanese, Middle Eastern, Mediterranean",,88
657,,,,
658,Chinese,"Chinese, Japanese, Sushi, Asian",Vegetarian Friendly,262
659,Steakhouse,"Steakhouse, British",Gluten Free Options,81
660,American,"Bar, American, Dining bars",,468
661,French,"French, Bar, Pub",,4709
662,Japanese,"Japanese, Sushi, Asian, Fast Food",,451
663,Asian,"Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options",113
664,Cafe,Cafe,,3342
665,French,"French, European","Vegetarian Friendly, Gluten Free Options",124
666,Unknown,,,
667,Chinese,"Chinese, Thai",,604
668,Chinese,"Chinese, Asian",Vegetarian Friendly,337
669,Polish,"Polish, European",,31
670,Unknown,,,
671,Asian,"Vietnamese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",347
672,Unknown,,,
673,Barbecue,Barbecue,,198
674,Steakhouse,"Steakhouse, Bar, European, British","Vegetarian Friendly, Gluten Free Options",133
675,Indian,"Indian, Asian, Balti",Vegetarian Friendly,296
676,Bar,"Bar, British, Pub, International, Gastropub",,
677,Cafe,Cafe,,2911
678,Dessert,Cafe,,478
679,American,"American, Cafe, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",
680,Unknown,,,
681,Cafe,Cafe,,
682,Asian,"Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options",374
683,Mediterranean,"Spanish, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",
684,Steakhouse,"Steakhouse, European, British, Grill","Vegetarian Friendly, Gluten Free Options",76
685,Bar,"Bar, Pizza, British, Pub, Gastropub","Vegetarian Friendly, Gluten Free Options",444
686,Bakeries,"Turkish, Cafe",Vegetarian Friendly,
687,French,"French, British",,296
688,Indian,"Indian, Asian",Vegetarian Friendly,1185
689,Quick Bites,"Italian, Pizza",,4
690,Cafe,"Cafe, Fast Food",Vegetarian Friendly,2171
691,Unknown,,,
692,Indian,Indian,,1061
693,Bar,"Bar, British, Pub",Vegetarian Friendly,1796
694,British,British,Vegetarian Friendly,681
695,Thai,Thai,,453
696,Cafe,"Cafe, British","Vegetarian Friendly, Vegan Options, Gluten Free Options",508
697,Unknown,,,
698,Unknown,,,
699,Bar,"Bar, Cafe, International, British, Contemporary, Pub, Soups",,
700,Cafe,Cafe,,
701,Turkish,Turkish,,572
702,Indian,Indian,,1027
703,European,"British, European","Vegetarian Friendly, Gluten Free Options, Vegan Options",278
704,Asian,"Asian, Thai",,1637
705,Cafe,"Cafe, Scottish, British","Vegetarian Friendly, Vegan Options",286
706,Chinese,"Chinese, Asian",,420
707,British,British,,3602
708,French,French,,444
709,Fast Food,Fast Food,,1172
710,Cafe,"Cafe, British, European","Vegetarian Friendly, Vegan Options",
711,Chinese,Chinese,,426
712,Bar,"Bar, British, Pub",,1591
713,Unknown,,,
714,Unknown,,,
715,Japanese,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options",
716,Vegetarian Friendly,,"Vegetarian Friendly, Vegan Options",
717,Cafe,Cafe,,
718,Mediterranean,"Mediterranean, Middle Eastern",Halal,698
719,Bar,"Bar, British, Pub, Gastropub",Vegetarian Friendly,774
720,Moroccan,"Moroccan, Mediterranean","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",19
721,American,American,Vegetarian Friendly,
722,Asian,"Asian, Taiwanese",,2104
723,Japanese,"Japanese, Asian","Vegetarian Friendly, Vegan Options",199
724,Pizza,"International, Pizza","Vegan Options, Vegetarian Friendly",615
725,Cafe,Cafe,,2135
726,Quick Bites,Cafe,,
727,Asian,"Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options",657
728,Chinese,Chinese,,523
729,Bar,"Bar, British, Pub",Vegetarian Friendly,281
730,Bakeries,"Danish, Cafe",Vegetarian Friendly,
731,Unknown,,,
732,European,"European, British, Grill","Vegetarian Friendly, Vegan Options, Gluten Free Options",737
733,Fast Food,,,15
734,Indian,"Indian, Asian",Vegetarian Friendly,275
735,Contemporary,Contemporary,,
736,Italian,"Italian, Pizza, Mediterranean","Vegetarian Friendly, Vegan Options",794
737,Cafe,Cafe,,3209
738,Unknown,,,
739,British,British,,3241
740,Bakeries,French,,245
741,Peruvian,"Peruvian, Latin, South American","Vegetarian Friendly, Vegan Options, Gluten Free Options",
742,Bakeries,"French, European",,321
743,Greek,Greek,"Vegetarian Friendly, Vegan Options, Gluten Free Options",21
744,Cafe,Cafe,"Vegetarian Friendly, Gluten Free Options, Vegan Options",
745,Quick Bites,"European, Cafe",,
746,Italian,"Italian, Pizza, European",Vegetarian Friendly,591
747,Unknown,,,
748,Steakhouse,"Steakhouse, Argentinean",Gluten Free Options,121
749,Bar,Bar,,1279
750,Mediterranean,"Mediterranean, European, Turkish, Middle Eastern","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",98
751,Japanese,"Japanese, Asian, Soups",Vegetarian Friendly,227
752,Dessert,"French, Cafe, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",2
753,Bar,"Bar, British, Pub, Street Food",Vegetarian Friendly,1724
754,International,International,,406
755,Cafe,"Cafe, British",,1846
756,French,French,"Vegetarian Friendly, Vegan Options, Gluten Free Options",54
757,Italian,"Cafe, Italian",Vegetarian Friendly,1390
758,Italian,"Italian, Pizza","Vegetarian Friendly, Gluten Free Options",638
759,Quick Bites,"Cafe, American",,
760,Lebanese,"Lebanese, Middle Eastern, Mediterranean","Halal, Vegetarian Friendly, Vegan Options",74
761,Italian,"Italian, Mediterranean, European","Vegan Options, Vegetarian Friendly",
762,American,American,,
763,Unknown,,,
